lang,cap,length,n_max,build_s,dec_mean_us,dec_std_us,dec_min_us,dec_max_us,enc_mean_us,enc_std_us,enc_min_us,enc_max_us,entries,table_bits,disk_bytes,peak_rss_kb
cpp,inf,16.0,28.0,0.000108,1.496,0.621,0.672,4.096,0.873,0.207,0.522,1.92,405.0,5048.0,1895.0,2168.0
cpp,inf,24.0,37.0,0.000223,2.572,0.883,1.217,5.209,1.4,0.361,0.805,2.178,702.0,12462.0,4166.0,3700.0
cpp,inf,32.0,46.0,0.000428,3.501,0.968,1.699,6.863,1.933,0.379,1.212,3.225,1080.0,24992.0,7816.0,3608.0
cpp,inf,48.0,64.0,0.001173,6.271,1.809,3.227,10.524,3.327,0.775,1.962,5.205,2079.0,71046.0,20706.0,3600.0
cpp,inf,64.0,81.0,0.00243,9.922,5.888,5.119,44.819,5.953,4.88,3.483,36.784,3320.0,148538.0,41781.0,3992.0
cpp,inf,96.0,115.0,0.007802,17.262,5.663,10.404,37.392,8.75,2.389,5.835,18.004,6669.0,440806.0,119394.0,4120.0
cpp,inf,128.0,148.0,0.016832,28.575,6.915,18.408,46.504,14.356,4.38,9.534,39.19,11025.0,959231.0,255041.0,4380.0
cpp,inf,192.0,215.0,0.057479,54.454,16.298,29.821,90.739,25.552,6.78,15.919,41.799,23219.0,3011653.0,784830.0,5728.0
cpp,inf,256.0,282.0,0.14201,86.616,22.921,46.352,174.616,47.255,16.609,24.017,111.098,39902.0,6888080.0,1776679.0,7304.0
cpp,inf,384.0,414.0,0.546162,184.388,47.811,103.547,311.853,85.5,22.197,48.134,147.34,85904.0,22119661.0,5647713.0,11720.0
cpp,inf,512.0,547.0,1.517616,293.703,79.739,152.655,474.231,150.657,48.437,73.104,337.934,149877.0,51437927.0,13065109.0,18536.0
cpp,inf,768.0,811.0,6.836282,604.006,206.741,239.789,1273.005,319.423,117.708,126.697,721.847,329265.0,169138922.0,42737368.0,42104.0
cpp,inf,1024.0,1074.0,21.106687,1084.341,346.015,482.12,2208.371,653.541,310.142,260.574,2535.878,577274.0,394709732.0,99471294.0,82000.0
cpp,8,16.0,28.0,4.6e-05,1.448,0.493,0.759,4.036,0.895,0.21,0.512,1.965,215.0,2137.0,899.0,2148.0
cpp,8,24.0,37.0,7.9e-05,2.588,0.844,1.264,4.838,1.513,0.378,0.907,2.648,296.0,4091.0,1500.0,3980.0
cpp,8,32.0,46.0,0.000123,3.471,0.972,1.82,6.858,1.995,0.388,1.196,3.255,377.0,6701.0,2265.0,3660.0
cpp,8,48.0,64.0,0.000264,6.585,2.307,3.387,16.19,3.495,0.681,2.117,5.558,539.0,13943.0,4299.0,3596.0
cpp,8,64.0,81.0,0.0004,9.786,2.956,5.6,21.556,6.554,11.146,3.388,93.321,692.0,23280.0,6844.0,3596.0
